PlantNo,Width,Age,Temperature,Rain expected in 2 weeks,SoilType,WhiteRoots,PestAttacks,FloweringSeason,Result
No693,24,5,29,Yes,Red-Yellow,Yes,Yes,Yes,Disease infected.Wait until the tree recovers
No694,25,6,29,Yes,Red-Yellow,Yes,Yes,Yes,Disease infected.Wait until the tree recovers
No695,22,8,30,Yes,Red-Yellow,Yes,Yes,Yes,Disease infected.Wait until the tree recovers
No696,18,7,31,Yes,Red-Yellow,Yes,Yes,Yes,Disease infected.Wait until the tree recovers
No697,20,7,28,Yes,Red-Yellow,Yes,Yes,Yes,Disease infected.Wait until the tree recovers
No698,22,6,30,Yes,Red-Yellow,Yes,Yes,Yes,Disease infected.Wait until the tree recovers
No699,23,6,31,Yes,Reddish-Brown,Yes,Yes,Yes,Disease infected.Wait until the tree recovers
No700,21,7,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No701,19,5,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No702,21,5,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No703,20,7,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No704,22,7,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No705,19,6,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No706,18,5,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No707,25,6,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No708,18,5,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No709,25,7,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No710,25,7,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No711,19,6,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No712,23,7,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No713,21,7,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No714,18,8,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No715,21,6,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No716,19,8,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No717,20,5,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No718,20,7,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No719,24,7,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No720,25,5,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No721,25,5,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No722,22,6,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No723,20,6,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No724,18,6,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No725,24,8,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No726,24,7,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No727,18,6,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No728,21,8,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No729,19,6,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No730,22,8,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No731,18,6,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No732,22,7,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No733,18,6,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No734,19,7,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No735,20,8,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No736,24,7,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No737,25,8,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No738,21,8,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No739,25,6,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No740,18,8,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No741,22,5,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No742,20,6,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No743,18,6,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No744,22,8,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No745,21,5,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No746,20,5,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No747,21,8,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No748,20,7,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No749,18,8,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No750,22,5,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No751,25,5,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No752,19,5,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No753,22,7,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No754,23,7,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No755,20,6,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No756,19,5,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No757,19,5,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No758,22,8,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No759,18,5,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No760,25,5,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No761,18,7,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No762,20,8,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No763,25,6,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No764,20,6,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No765,18,8,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No766,21,5,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No767,19,5,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No768,25,7,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No769,21,7,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No770,24,6,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No771,23,7,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No772,24,7,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No773,24,5,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No774,20,8,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No775,23,5,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No776,20,8,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No777,19,6,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No778,22,7,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No779,22,8,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No780,25,6,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No781,23,5,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No782,23,5,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No783,20,5,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No784,18,7,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No785,23,6,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No786,23,5,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No787,25,6,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No788,23,5,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No789,23,8,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No790,18,8,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No791,20,8,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No792,21,5,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No793,25,6,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No794,24,5,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No795,21,6,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No796,19,5,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No797,21,5,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No798,22,8,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No799,23,8,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No800,18,5,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No801,20,8,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No802,19,6,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No803,23,7,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No804,22,8,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No805,22,7,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No806,20,5,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No807,20,5,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No808,22,8,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No809,24,8,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No810,22,8,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No811,25,7,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No812,24,5,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No813,22,7,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No814,24,8,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No815,23,5,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No816,25,5,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No817,22,7,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No818,25,5,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No819,21,6,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No820,24,5,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No821,22,7,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No822,22,8,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No823,22,5,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No824,23,8,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No825,20,5,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No826,19,5,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No827,18,5,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No828,21,8,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No829,18,6,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No830,24,5,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No831,19,8,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No832,23,5,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No833,20,6,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No834,18,6,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No835,19,5,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No836,25,8,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No837,25,5,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No838,23,7,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No839,18,8,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No840,21,7,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No841,22,8,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No842,25,8,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No843,21,8,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No844,25,7,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No845,23,6,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No846,18,7,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No847,18,6,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No848,24,5,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No849,25,5,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No850,24,7,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No851,25,7,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No852,18,6,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No853,24,5,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No854,19,5,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No855,23,7,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No856,21,8,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No857,21,8,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No858,21,7,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No859,22,7,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No860,24,7,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No861,20,6,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No862,19,6,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No863,25,5,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No864,19,7,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No865,22,5,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No866,25,6,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No867,20,8,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No868,22,7,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No869,24,5,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No870,21,7,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No871,23,5,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No872,19,8,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No873,25,6,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No874,18,7,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No875,20,5,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No876,23,7,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No877,21,7,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No878,22,7,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No879,22,7,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No880,23,6,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No881,18,5,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No882,21,7,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No883,25,6,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No884,19,5,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No885,19,6,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No886,19,7,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No887,21,5,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No888,21,6,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No889,24,7,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No890,22,7,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No891,19,5,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No892,23,8,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No893,20,6,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No894,21,7,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No895,25,8,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No896,20,8,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No897,20,5,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No898,25,8,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No899,25,8,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No900,22,5,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No901,21,8,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No902,22,6,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No903,23,6,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No904,23,8,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No905,19,6,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No906,18,6,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No907,21,7,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No908,25,5,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No909,24,5,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No910,21,7,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No911,24,7,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No912,20,5,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No913,18,5,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No914,24,8,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No915,20,5,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No916,23,6,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No917,23,5,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No918,20,7,30,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No919,23,7,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No920,22,5,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No921,21,7,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No922,24,6,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No923,21,8,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No924,21,5,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No925,23,5,28,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No926,20,5,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No927,24,6,29,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No928,23,6,31,Yes,Reddish-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No929,24,7,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No930,19,5,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No931,22,7,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No932,23,6,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No933,18,6,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No934,21,6,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No935,19,8,30,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No936,20,6,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No937,22,7,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No938,18,6,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No939,18,7,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No940,20,6,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No941,24,8,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No942,19,6,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No943,23,8,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No944,19,5,29,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No945,21,6,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No946,24,5,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No947,22,5,28,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No948,25,5,31,Yes,Red-Yellow,Yes,No,Yes,Disease infected.Wait until the tree recovers
No949,24,5,31,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No950,23,7,29,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No951,23,8,29,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No952,21,8,28,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No953,19,8,31,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No954,23,6,29,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No955,22,6,30,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No956,23,5,29,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No957,24,6,29,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No958,23,5,31,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No959,19,6,31,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No960,18,5,30,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No961,25,6,30,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No962,23,8,29,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No963,20,8,28,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No964,21,7,31,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No965,19,7,31,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No966,19,6,30,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No967,25,8,31,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No968,23,7,29,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No969,19,7,30,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No970,21,6,30,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No971,25,7,28,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No972,19,5,28,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No973,23,5,30,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No974,24,6,29,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No975,25,7,29,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No976,18,5,29,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
No977,20,6,30,Yes,Noncalic-Brown,Yes,No,Yes,Disease infected.Wait until the tree recovers
